"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверяем, что при клике на вопрос отображается соответствующий текст","12153","Проверка раскрытия ответов в FAQ - вопрос {question_index + 1}","tests","2025-10-28","passed","2025-10-28","TestFAQ","test_faq","",""
"Проверяем полный флоу заказа самоката","2197","Позитивный сценарий заказа самоката через footer","tests","2025-10-28","passed","2025-10-28","TestOrder","test_order","",""
"Проверяем, что при клике на вопрос отображается соответствующий текст","12153","Проверка раскрытия ответов в FAQ - вопрос {question_index + 1}","tests","2025-10-28","passed","2025-10-28","TestFAQ","test_faq","",""
"Проверяем, что при клике на вопрос отображается соответствующий текст","12143","Проверка раскрытия ответов в FAQ - вопрос {question_index + 1}","tests","2025-10-28","passed","2025-10-28","TestFAQ","test_faq","",""
"Проверяем, что при клике на вопрос отображается соответствующий текст","12161","Проверка раскрытия ответов в FAQ - вопрос {question_index + 1}","tests","2025-10-28","passed","2025-10-28","TestFAQ","test_faq","",""
"Проверяем полный флоу заказа самоката","2164","Позитивный сценарий заказа самоката через header","tests","2025-10-28","passed","2025-10-28","TestOrder","test_order","",""
"","112","Проверка перехода на главную через логотип Самоката","tests","2025-10-28","passed","2025-10-28","TestOrder","test_order","",""
"","1129","Проверка перехода на Дзен через логотип Яндекса","tests","2025-10-28","passed","2025-10-28","TestOrder","test_order","",""
"Проверяем, что при клике на вопрос отображается соответствующий текст","12347","Проверка раскрытия ответов в FAQ - вопрос {question_index + 1}","tests","2025-10-28","passed","2025-10-28","TestFAQ","test_faq","",""
"Проверяем, что при клике на вопрос отображается соответствующий текст","12167","Проверка раскрытия ответов в FAQ - вопрос {question_index + 1}","tests","2025-10-28","passed","2025-10-28","TestFAQ","test_faq","",""
"Проверяем, что при клике на вопрос отображается соответствующий текст","12148","Проверка раскрытия ответов в FAQ - вопрос {question_index + 1}","tests","2025-10-28","passed","2025-10-28","TestFAQ","test_faq","",""
"Проверяем, что при клике на вопрос отображается соответствующий текст","12162","Проверка раскрытия ответов в FAQ - вопрос {question_index + 1}","tests","2025-10-28","passed","2025-10-28","TestFAQ","test_faq","",""
